12,15,20,14,10,11,9,4,7,17,5,16,19,3
19,13,4,3,16,9,11,12,17,0,15,1,7,20
15,1,19,0,18,16,2,6,20,4,14,17,11,8
14,4,8,11,3,18,1,15,0,2,10,13,12,7
11,7,13,2,20,0,12,5,10,19,6,15,9,14
10,17,16,12,14,1,19,7,15,6,3,5,0,18
8,5,1,16,2,7,0,18,6,14,19,9,20,10
20,19,2,9,0,14,17,3,1,7,13,8,5,16
18,10,15,13,5,2,7,11,8,9,17,4,1,12
9,18,6,4,19,20,10,2,16,13,1,12,14,11
16,8,11,15,17,3,18,13,14,5,20,2,10,6
3,2,0,5,1,10,8,9,13,20,18,6,4,17
7,12,17,10,4,5,6,0,19,3,8,11,13,15
13,14,18,19,6,17,15,8,9,1,12,3,16,4
2,20,9,18,11,12,4,16,3,8,0,7,6,5
